Original,name,mos,DT,Codec,Tradeoff,Rate,STD,CONF_INT
Thaidancer,Thaidancer_gpcc_p1_r02.ply,1.0,0,gpcc,p1,r1,0.0,0.0
Thaidancer,Thaidancer_gpcc_p1_r03.ply,1.8,0,gpcc,p1,r2,0.81240384,0.356045139
Thaidancer,Thaidancer_gpcc_p1_r04.ply,3.55,0,gpcc,p1,r3,0.864580823,0.37891229
Thaidancer,Thaidancer_gpcc_p1_r05.ply,4.75,0,gpcc,p1,r4,0.433012702,0.189772697
Thaidancer,Thaidancer_gpcc_p2_r02.ply,1.05,0,gpcc,p2,r1,0.217944947,0.095516829
Thaidancer,Thaidancer_gpcc_p2_r03.ply,1.4,0,gpcc,p2,r2,0.489897949,0.214703297
Thaidancer,Thaidancer_gpcc_p2_r04.ply,3.4,0,gpcc,p2,r3,0.734846923,0.322054946
Thaidancer,Thaidancer_gpcc_p2_r05.ply,4.75,0,gpcc,p2,r4,0.433012702,0.189772697
Thaidancer,Thaidancer_gpcc_p3_r02.ply,1.05,0,gpcc,p3,r1,0.217944947,0.095516829
Thaidancer,Thaidancer_gpcc_p3_r03.ply,1.7,0,gpcc,p3,r2,0.953939201,0.418074606
Thaidancer,Thaidancer_gpcc_p3_r04.ply,2.95,0,gpcc,p3,r3,0.589491306,0.258351209
Thaidancer,Thaidancer_gpcc_p3_r05.ply,4.55,0,gpcc,p3,r4,0.589491306,0.258351209
Thaidancer,Thaidancer_vpcc_p1_r1.ply,4.2,1,vpcc,p1,r1,0.6,0.262956762
Thaidancer,Thaidancer_vpcc_p1_r2.ply,4.45,1,vpcc,p1,r2,0.589491306,0.258351209
Thaidancer,Thaidancer_vpcc_p1_r3.ply,4.5,1,vpcc,p1,r3,0.670820393,0.293994598
Thaidancer,Thaidancer_vpcc_p1_r4.ply,4.8,1,vpcc,p1,r4,0.4,0.175304508
Thaidancer,Thaidancer_vpcc_p2_r1.ply,3.25,1,vpcc,p2,r1,0.766485486,0.335920903
Thaidancer,Thaidancer_vpcc_p2_r2.ply,4.5,1,vpcc,p2,r2,0.5,0.219130635
Thaidancer,Thaidancer_vpcc_p2_r3.ply,4.65,1,vpcc,p2,r3,0.476969601,0.209037303
Thaidancer,Thaidancer_vpcc_p2_r4.ply,4.75,1,vpcc,p2,r4,0.698212002,0.305999279
Thaidancer,Thaidancer_vpcc_p3_r1.ply,3.45,1,vpcc,p3,r1,0.589491306,0.258351209
Thaidancer,Thaidancer_vpcc_p3_r2.ply,4.4,1,vpcc,p3,r2,0.583095189,0.255548038
Thaidancer,Thaidancer_vpcc_p3_r3.ply,4.75,1,vpcc,p3,r3,0.433012702,0.189772697
Thaidancer,Thaidancer_vpcc_p3_r4.ply,4.85,1,vpcc,p3,r4,0.357071421,0.156490575
Thaidancer,Thaidancer_jpeg_p1_r1.ply,1.15,2,jpeg,p1,r1,0.357071421,0.156490575
Thaidancer,Thaidancer_jpeg_p1_r2.ply,2.2,2,jpeg,p1,r2,0.678232998,0.297243255
Thaidancer,Thaidancer_jpeg_p1_r3.ply,4.25,2,jpeg,p1,r3,0.536190265,0.234991427
Thaidancer,Thaidancer_jpeg_p1_r4.ply,4.65,2,jpeg,p1,r4,0.726291952,0.318305634
Thaidancer,Thaidancer_jpeg_p2_r1.ply,1.2,2,jpeg,p2,r1,0.509901951,0.223470277
Thaidancer,Thaidancer_jpeg_p2_r2.ply,2.6,2,jpeg,p2,r2,0.8,0.350609016
Thaidancer,Thaidancer_jpeg_p2_r3.ply,4.25,2,jpeg,p2,r3,0.698212002,0.305999279
Thaidancer,Thaidancer_jpeg_p2_r4.ply,4.55,2,jpeg,p2,r4,0.497493719,0.218032229
Thaidancer,Thaidancer_jpeg_p3_r1.ply,1.2,2,jpeg,p3,r1,0.4,0.175304508
Thaidancer,Thaidancer_jpeg_p3_r2.ply,1.4,2,jpeg,p3,r2,0.489897949,0.214703297
Thaidancer,Thaidancer_jpeg_p3_r3.ply,3.6,2,jpeg,p3,r3,0.734846923,0.322054946
Thaidancer,Thaidancer_jpeg_p3_r4.ply,4.75,2,jpeg,p3,r4,0.433012702,0.189772697
