name,mos,DT,distortion_type
redandblack_00.ply,8.167091837,0,Octree_based_compression
redandblack_01.ply,6.45,0,Octree_based_compression
redandblack_02.ply,6.734375,0,Octree_based_compression
redandblack_03.ply,4.9,0,Octree_based_compression
redandblack_04.ply,6.286989796,0,Octree_based_compression
redandblack_05.ply,3.7578125,0,Octree_based_compression
redandblack_06.ply,9.392857143,3,Color_Noise
redandblack_07.ply,7.608333333,3,Color_Noise
redandblack_08.ply,7.24744898,3,Color_Noise
redandblack_09.ply,6.53125,3,Color_Noise
redandblack_10.ply,5.515625,3,Color_Noise
redandblack_11.ply,4.780769231,3,Color_Noise
redandblack_12.ply,7.767307692,1,Downscaling
redandblack_13.ply,6.803846154,1,Downscaling
redandblack_14.ply,6.65,1,Downscaling
redandblack_15.ply,5.1640625,1,Downscaling
redandblack_16.ply,3.709615385,1,Downscaling
redandblack_17.ply,2.141666667,1,Downscaling
redandblack_18.ply,8.191666667,1,Downscaling_and_Color_noise
redandblack_19.ply,6.85,1,Downscaling_and_Color_noise
redandblack_20.ply,6.144132653,1,Downscaling_and_Color_noise
redandblack_21.ply,4.6484375,1,Downscaling_and_Color_noise
redandblack_22.ply,3.465384615,1,Downscaling_and_Color_noise
redandblack_23.ply,1.433333333,1,Downscaling_and_Color_noise
redandblack_24.ply,8.2578125,1,Downscaling_and_Geometry_Gaussian_noise
redandblack_25.ply,7.3515625,1,Downscaling_and_Geometry_Gaussian_noise
redandblack_26.ply,5.579081633,1,Downscaling_and_Geometry_Gaussian_noise
redandblack_27.ply,2.4375,1,Downscaling_and_Geometry_Gaussian_noise
redandblack_28.ply,2.275,1,Downscaling_and_Geometry_Gaussian_noise
redandblack_29.ply,1.0,1,Downscaling_and_Geometry_Gaussian_noise
redandblack_30.ply,8.125,2,Geometry_Gaussian_noise
redandblack_31.ply,6.441666667,2,Geometry_Gaussian_noise
redandblack_32.ply,5.9609375,2,Geometry_Gaussian_noise
redandblack_33.ply,3.394132653,2,Geometry_Gaussian_noise
redandblack_34.ply,1.866666667,2,Geometry_Gaussian_noise
redandblack_35.ply,1.848076923,2,Geometry_Gaussian_noise
redandblack_36.ply,8.525,2,Color_noise_and_Geometry_Gaussian_noise
redandblack_37.ply,6.063461538,2,Color_noise_and_Geometry_Gaussian_noise
redandblack_38.ply,5.96875,2,Color_noise_and_Geometry_Gaussian_noise
redandblack_39.ply,3.125,2,Color_noise_and_Geometry_Gaussian_noise
redandblack_40.ply,1.876923077,2,Color_noise_and_Geometry_Gaussian_noise
redandblack_41.ply,1.691666667,2,Color_noise_and_Geometry_Gaussian_noise
romanoillamp_00.ply,9.116666667,0,Octree_based_compression
romanoillamp_01.ply,9.321428571,0,Octree_based_compression
romanoillamp_02.ply,9.682692308,0,Octree_based_compression
romanoillamp_03.ply,8.62244898,0,Octree_based_compression
romanoillamp_04.ply,7.691326531,0,Octree_based_compression
romanoillamp_05.ply,3.6171875,0,Octree_based_compression
romanoillamp_06.ply,8.771683673,3,Color_Noise
romanoillamp_07.ply,7.568877551,3,Color_Noise
romanoillamp_08.ply,6.619897959,3,Color_Noise
romanoillamp_09.ply,7.808333333,3,Color_Noise
romanoillamp_10.ply,6.953125,3,Color_Noise
romanoillamp_11.ply,6.2265625,3,Color_Noise
romanoillamp_12.ply,7.941666667,1,Downscaling
romanoillamp_13.ply,8.163461538,1,Downscaling
romanoillamp_14.ply,8.25,1,Downscaling
